Supplier ID,Company Name,Category,Product Description,Micro-Location,Email Address,Phone Number
"CP-SUP-169","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@quantumtraders.in","+91 9810778324"
"CP-SUP-170","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@cpmenterprises.in","+91 9810838564"
"CP-SUP-171","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@hanssolutions.in","+91 9810191599"
"CP-SUP-172","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@agrohab2b.in","+91 9810339792"
"CP-SUP-173","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@aarjavlogistics.in","+91 9810320816"
"CP-SUP-174","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@anisaindustries.in","+91 9810572286"
"CP-SUP-175","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@blueskyfurnishings.in","+91 9810431450"
"CP-SUP-176","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@omwholesale.in","+91 9810565605"
"CP-SUP-177","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@shanticorp.in","+91 9810559247"
"CP-SUP-178","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@vanguardsystems.in","+91 9810873598"
"CP-SUP-179","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@summittraders.in","+91 9810920070"
"CP-SUP-180","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@matrixenterprises.in","+91 9810576196"
"CP-SUP-181","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@nexussolutions.in","+91 9810348665"
"CP-SUP-182","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@apexb2b.in","+91 9810492094"
"CP-SUP-183","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@primelogistics.in","+91 9810686105"
"CP-SUP-184","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@eliteindustries.in","+91 9810628885"
"CP-SUP-185","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@sovereignfurnishings.in","+91 9810716019"
"CP-SUP-186","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@globalwholesale.in","+91 9810673643"
"CP-SUP-187","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@pioneercorp.in","+91 9810298992"
"CP-SUP-188","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@vertexsystems.in","+91 9810758662"
"CP-SUP-189","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@quantumtraders.in","+91 9810404782"
"CP-SUP-190","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@cpmenterprises.in","+91 9810955217"
"CP-SUP-191","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@hanssolutions.in","+91 9810539857"
"CP-SUP-192","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@agrohab2b.in","+91 9810113621"
"CP-SUP-193","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@aarjavlogistics.in","+91 9810938923"
"CP-SUP-194","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@anisaindustries.in","+91 9810510805"
"CP-SUP-195","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@blueskyfurnishings.in","+91 9810922761"
"CP-SUP-196","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@omwholesale.in","+91 9810710519"
"CP-SUP-197","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@shanticorp.in","+91 9810605128"
"CP-SUP-198","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@vanguardsystems.in","+91 9810609897"
"CP-SUP-199","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@summittraders.in","+91 9810780387"
"CP-SUP-200","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@matrixenterprises.in","+91 9810493963"
